City_ID,City,Clouds,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Temperature,Wind Speed
0,suchil,21,MX,1591217193,17,23.63,-103.92,85.73,85.73,15.23
1,conakry,85,GN,1591217088,80,9.54,-13.68,82.53,82.53,6.35
2,ushuaia,75,AR,1591217011,75,-54.8,-68.3,44.6,44.6,17.22
3,kirakira,97,SB,1591217193,74,-10.45,161.92,82.51,82.51,4.59
4,east london,100,ZA,1591217093,78,-33.02,27.91,65.39,65.39,6.89
5,warrington,91,GB,1591217002,71,53.39,-2.58,55.0,52.84,4.7
6,shido,75,JP,1591217194,88,34.32,134.17,66.2,65.05,4.7
7,carayao,29,PY,1591217194,71,-25.18,-56.4,66.96,66.96,1.97
8,kaili,56,ID,1591217194,89,-3.46,120.21,68.18,68.18,1.86
9,avarua,14,CK,1591217194,78,-21.21,-159.78,77.0,77.0,13.87
10,jamestown,40,US,1591216936,69,42.1,-79.24,75.99,74.7,17.22
11,plouzane,75,FR,1591217194,93,48.38,-4.62,57.2,56.64,5.82
12,puerto ayora,40,EC,1591217194,58,-0.74,-90.35,84.2,79.7,19.46
13,port alfred,100,ZA,1591217194,94,-33.59,26.89,61.0,61.0,1.99
14,broome,75,US,1591216939,60,42.25,-75.83,75.99,74.19,12.75
15,pevek,68,RU,1591217194,76,69.7,170.31,39.6,39.6,3.44
16,port macquarie,51,AU,1591217086,79,-31.43,152.92,55.0,55.0,3.0
17,nikolskoye,100,RU,1591216916,59,59.7,30.79,60.8,57.99,4.47
18,albany,74,US,1591217195,56,42.6,-73.97,79.0,78.03,12.91
19,busselton,0,AU,1591217195,77,-33.65,115.33,48.0,46.53,6.02
20,hobart,20,AU,1591217195,70,-42.88,147.33,44.01,41.38,9.17
21,dikson,99,RU,1591216901,98,73.51,80.55,31.26,31.26,14.85
22,topchikha,20,RU,1591217195,61,52.82,83.12,48.2,48.2,6.71
23,dubbo,0,AU,1591216967,93,-32.25,148.62,39.2,39.2,9.17
24,hithadhoo,89,MV,1591217195,65,-0.6,73.08,84.24,84.24,6.98
25,puri,40,IN,1591216988,94,19.8,85.85,78.8,78.8,4.7
26,bluff,100,NZ,1591217195,79,-46.6,168.33,47.41,47.41,22.91
27,haines junction,96,CA,1591217045,44,60.75,-137.51,52.61,52.61,8.46
28,punta arenas,90,CL,1591217094,65,-53.15,-70.92,46.4,46.2,21.92
29,butaritari,84,KI,1591217195,77,3.07,172.79,82.22,82.22,6.73
30,koslan,18,RU,1591217195,54,63.46,48.9,50.4,50.4,3.31
31,rikitea,100,PF,1591217196,80,-23.12,-134.97,75.7,75.7,18.57
